,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
153,Fri Dec 15 04:06:48 +0000 2023,1735511700588392803,Pengelolaan lingkungan yang berkelanjutan adalah komitmen Prabowo Gibran dalam menciptakan pembangunan yang berwibawa.   #02UntukIndonesiaMaju  17Program PrioritasPraGibs https://t.co/jxza4S2gjN,0,0,0,0,in,1681183563662671873,1735511700588392803,darmawan_rizaa,https://twitter.com/darmawan_rizaa/status/1735511700588392803
154,Fri Dec 15 04:06:46 +0000 2023,1735511693067993112,@yuliaaanidiya_ Billy Mambrasar nilai positif respons Prabowo soal isu HAM di Papua. dekade08,0,0,0,0,in,1668450712974688257,1735471222564208968,gita_sevira,https://twitter.com/gita_sevira/status/1735511693067993112
155,Fri Dec 15 04:06:46 +0000 2023,1735511692195594689,"@Hasbil_Lbs @prabowo @ganjarpranowo @aniesbaswedan Salah lapak bang, kalau mau komen kek gini di tiktok, banyak yang dukung",0,0,0,0,in,1667409516303097857,1734578112363643138,xxlvoxi,https://twitter.com/xxlvoxi/status/1735511692195594689
156,Fri Dec 15 04:06:44 +0000 2023,1735511686201897033,"@PartaiSocmed Prabowo adalah satu-satunya Capres yg sudah selesai dg dirinya sendiri. Tak ada nafsu, tak ada ambisi, 100% ia pertaruhkan hidupnya hanya untuk NKRI.  Semoga Pak Prabowo diberikan sehat selalu. Kami segenap laskar Jokowi siap mengawal Pak Prabowo. Prabowo for President 2024 ✌️🫰",0,0,0,0,in,390576624,1735478473341509874,daggerdast,https://twitter.com/daggerdast/status/1735511686201897033
157,Fri Dec 15 04:06:43 +0000 2023,1735511680631832746,@Resty_J_Cayah @prabowo Ayo BONGKAR BONGKAR kebusukan Prabowo Subianto,0,0,0,0,in,1693415071161163776,1735499007001244031,dariwongcilik,https://twitter.com/dariwongcilik/status/1735511680631832746
158,Fri Dec 15 04:06:38 +0000 2023,1735511657961623600,@PartaiSocmed @aniesbaswedan @prabowo MENJILATT TRUSS😂,0,0,0,0,in,482676354,1735216864152981540,Ryy_21,https://twitter.com/Ryy_21/status/1735511657961623600
159,Fri Dec 15 04:06:37 +0000 2023,1735511654446809294,@alisyarief Saya percaya  Pak @aniesbaswedan .ga lagi percaya Prabowo,0,0,0,0,in,1709002557836963840,1735481013722325139,HilmaNadya27493,https://twitter.com/HilmaNadya27493/status/1735511654446809294
160,Fri Dec 15 04:06:34 +0000 2023,1735511644690928027,Instruksi AHY ke Kader Demokrat: Menangkan Prabowo di Pilpres 2024. wye  PDemokrat AgusYudhoyono Demokrat Bareng AHY https://t.co/SWR7dwtBVd,0,0,0,0,in,560467737,1735511644690928027,APhontiP,https://twitter.com/APhontiP/status/1735511644690928027
161,Fri Dec 15 04:06:33 +0000 2023,1735511639603261645,@FirdaSyeban apa yg mau di katakan prabowo ttg kasus2 pelanggaran HAM jika di pmerinthan jokowi aja gak beres,0,0,0,0,in,1614230419117051908,1735509536423948702,PubgMGlobal4,https://twitter.com/PubgMGlobal4/status/1735511639603261645
162,Fri Dec 15 04:06:22 +0000 2023,1735511593755271433,@PartaiSocmed @aniesbaswedan @prabowo Lu gak malu ngetweet ginian? Gak ngaca?,0,0,0,0,in,2989400682,1735216864152981540,Bunchaaaaaaa,https://twitter.com/Bunchaaaaaaa/status/1735511593755271433
163,Fri Dec 15 04:06:21 +0000 2023,1735511587073740848,"Usai Gabung KIM, Elektabilitas Demokrat dan Prabowo Kian Meningkat. cj]  AgusYudhoyono PDemokrat Demokrat Bareng AHY https://t.co/jUbXMFq2qc",0,0,0,0,in,560467737,1735511587073740848,APhontiP,https://twitter.com/APhontiP/status/1735511587073740848
